PLM_ID;PhysicalBinStockQuantity;AllocatedStockQuantity;AvailableStockQuantity;StockQuantityUoM;ReceivingInProgressQuantity
2841870;4051223.00;0.00;4051223.00;PCE;0.00
3677130;1450000.00;0.00;1450000.00;PCE;0.00
3745030;1089000.00;0.00;1089000.00;PCE;0.00
3944120;890880.00;0.00;890880.00;PCE;0.00
4119645;879517.00;17136.00;862381.00;PCE;0.00
2862337;786000.00;12000.00;774000.00;PCE;0.00
3891377;639601.00;1813.00;637788.00;PCE;0.00
2819990;577500.00;0.00;577500.00;PCE;0.00
3594831;434000.00;2.00;433998.00;PCE;0.00
2874286;432000.00;0.00;432000.00;PCE;0.00
2885822;58675.00;200.00;58475.00;PCE;0.00
3582835;37700.00;1100.00;36600.00;PCE;0.00
11167836;34918.00;0.00;34918.00;PCE;0.00
2852995;17458.00;80.00;17378.00;PCE;0.00
4518220;16560.00;0.00;16560.00;PCE;0.00
8061226;14100.00;0.00;14100.00;PCE;0.00
3856241;25161.00;15481.00;9680.00;PCE;0.00
2691512;8440.00;110.00;8330.00;PCE;0.00
2891860;7835.00;1000.00;6835.00;PCE;0.00
2824559;4681.00;489.00;4192.00;PCE;0.00
6438568;3688.00;0.00;3688.00;PCE;0.00
4046753;3509.00;81.00;3428.00;"M ";0.00
4336052;3194.00;0.00;3194.00;PCE;0.00
3858615;3513.00;381.00;3132.00;PCE;0.00
11196754;2889.00;0.00;2889.00;"M ";0.00
10968305;2984.00;200.00;2784.00;PCE;0.00
11176282;2775.00;0.00;2775.00;PCE;0.00
11123019;2756.00;0.00;2756.00;PCE;0.00
9320938;2748.00;0.00;2748.00;PCE;0.00
11141293;2756.00;50.00;2706.00;PCE;0.00
10691821;2651.00;0.00;2651.00;PCE;0.00
11170742;2647.00;0.00;2647.00;PCE;0.00
3925001;2524.00;40.00;2484.00;PCE;0.00
3694554;2967.00;590.00;2377.00;PCE;0.00
4176417;2048.00;58.00;1990.00;PCE;0.00
2818203;1754.00;74.00;1680.00;PCE;0.00
2832524;1361.00;115.00;1246.00;PCE;0.00
3582582;1111.00;0.00;1111.00;PCE;0.00
3942423;976.00;3.00;973.00;PCE;0.00
4338282;931.00;24.00;907.00;PCE;0.00
4429470;873.00;0.00;873.00;PCE;0.00
8486907;613.00;0.00;613.00;PCE;0.00
6618315;586.00;0.00;586.00;PCE;0.00
7781926;574.00;0.00;574.00;PCE;0.00
6633054;510.00;2.00;508.00;PCE;0.00
7111243;452.00;0.00;452.00;PCE;0.00
2706736;413.00;29.00;384.00;PCE;0.00
3863617;381.00;5.00;376.00;PCE;0.00
4698368;371.00;0.00;371.00;PCE;0.00
4379788;380.00;17.00;363.00;PCE;0.00
8099266;320.00;0.00;320.00;PCE;0.00
6724259;300.00;0.00;300.00;PCE;0.00
4431433;304.00;10.00;294.00;PCE;0.00
11153849;272.00;0.00;272.00;PCE;0.00
10864444;272.00;0.00;272.00;PCE;0.00
3813610;270.00;0.00;270.00;PCE;0.00
8009945;228.00;0.00;228.00;PCE;0.00
2843704;246.00;24.00;222.00;PCE;0.00
4614365;210.00;0.00;210.00;"M ";0.00
6436741;193.00;0.00;193.00;PCE;0.00
8092440;180.00;0.00;180.00;"M ";0.00
7869242;165.00;0.00;165.00;PCE;0.00
4665683;159.00;0.00;159.00;PCE;0.00
7955315;140.00;0.00;140.00;PCE;0.00
7935226;134.00;0.00;134.00;PCE;0.00
4655555;165.00;36.00;129.00;PCE;0.00
11017213;135.00;12.00;123.00;PCE;0.00
4431742;118.00;0.00;118.00;PCE;0.00
4412988;125.00;13.00;112.00;PCE;0.00
6617894;111.00;0.00;111.00;PCE;0.00
10716191;100.00;0.00;100.00;PCE;0.00
4603268;90.00;2.00;88.00;PCE;0.00
6591399;88.00;0.00;88.00;PCE;0.00
7831364;66.00;0.00;66.00;PCE;0.00
4422928;66.00;0.00;66.00;PCE;0.00
4492876;63.00;1.00;62.00;PCE;0.00
4490580;64.00;3.00;61.00;PCE;0.00
2927418;169.00;114.00;55.00;PCE;0.00
7766653;52.00;0.00;52.00;PCE;0.00
4492854;51.00;0.00;51.00;PCE;0.00
8063378;50.00;0.00;50.00;PCE;0.00
4426841;49.00;0.00;49.00;PCE;0.00
11029820;45.00;2.00;43.00;PCE;0.00
7933302;42.00;0.00;42.00;PCE;0.00
6657124;40.00;0.00;40.00;PCE;0.00
6607607;40.00;0.00;40.00;PCE;0.00
6881888;38.00;0.00;38.00;PCE;0.00
4378452;78.00;42.00;36.00;PCE;0.00
11069534;33.00;0.00;33.00;PCE;0.00
11001104;27.00;0.00;27.00;PCE;0.00
4444755;25.00;1.00;24.00;PCE;0.00
10893773;23.00;3.00;20.00;PCE;0.00
7887872;19.00;0.00;19.00;PCE;0.00
6866063;17.00;0.00;17.00;PCE;0.00
6876400;16.00;0.00;16.00;PCE;0.00
7921214;11.00;0.00;11.00;PCE;0.00
9172981;9.00;0.00;9.00;PCE;0.00
4643564;8.00;0.00;8.00;PCE;0.00
4767284;7.00;0.00;7.00;PCE;0.00
4580205;7.00;0.00;7.00;PCE;0.00
7921347;7.00;0.00;7.00;PCE;0.00
11075267;6.00;0.00;6.00;PCE;0.00
6808260;5.00;0.00;5.00;PCE;0.00
6614103;5.00;0.00;5.00;PCE;0.00
4462777;4.00;0.00;4.00;PCE;0.00
11017097;5.00;1.00;4.00;PCE;0.00
11215970;4.00;0.00;4.00;PCE;0.00
7889869;4.00;0.00;4.00;PCE;0.00
6579569;4.00;0.00;4.00;PCE;0.00
8013414;4.00;0.00;4.00;PCE;0.00
6633052;3.00;0.00;3.00;PCE;0.00
6613766;3.00;0.00;3.00;PCE;0.00
10998325;1.00;0.00;1.00;PCE;0.00
4592158;1.00;0.00;1.00;PCE;0.00
6986793;1.00;0.00;1.00;PCE;0.00
11187003;1.00;0.00;1.00;PCE;0.00
8070126;0.00;0.00;0.00;PCE;0.00
8109103;0.00;0.00;0.00;PCE;0.00
8069906;0.00;0.00;0.00;PCE;0.00
8054592;0.00;0.00;0.00;PCE;0.00
6445858;0.00;0.00;0.00;PCE;0.00
6657245;0.00;0.00;0.00;"M ";0.00
7838128;0.00;0.00;0.00;PCE;0.00
7888309;0.00;0.00;0.00;PCE;0.00
7920844;0.00;0.00;0.00;PCE;0.00
6610659;0.00;0.00;0.00;PCE;0.00
11249951;0.00;0.00;0.00;PCE;0.00
6673638;0.00;0.00;0.00;PCE;0.00
11228469;0.00;0.00;0.00;PCE;0.00
3007533;0.00;0.00;0.00;PCE;0.00
4462297;0.00;0.00;0.00;PCE;0.00
4680854;0.00;0.00;0.00;PCE;0.00
4765249;0.00;0.00;0.00;PCE;0.00
4638176;0.00;0.00;0.00;PCE;0.00
4725427;0.00;0.00;0.00;PCE;0.00
4445934;0.00;0.00;0.00;PCE;0.00
11059516;0.00;0.00;0.00;PCE;0.00
11252582;0.00;0.00;0.00;PCE;0.00
6632670;0.00;0.00;0.00;PCE;0.00
8033568;0.00;0.00;0.00;PCE;0.00
7889799;0.00;0.00;0.00;PCE;0.00
6620728;0.00;0.00;0.00;PCE;0.00
10977394;0.00;0.00;0.00;PCE;0.00
11227602;0.00;0.00;0.00;PCE;0.00
9172285;0.00;0.00;0.00;PCE;0.00
4577520;0.00;0.00;0.00;PCE;0.00
6580956;0.00;0.00;0.00;PCE;0.00
10977418;0.00;0.00;0.00;PCE;0.00
11059507;0.00;0.00;0.00;PCE;0.00
8060450;0.00;0.00;0.00;PCE;0.00
8097924;0.00;0.00;0.00;PCE;0.00
11071265;0.00;0.00;0.00;PCE;0.00
6741477;0.00;0.00;0.00;PCE;0.00
4000085;-2.00;12.00;0.00;PCE;0.00
2819475;-1.00;31.00;0.00;PCE;0.00
6986591;0.00;0.00;0.00;PCE;0.00
6876505;0.00;0.00;0.00;PCE;0.00
2785975;0.00;17.00;0.00;PCE;0.00
8097336;0.00;0.00;0.00;PCE;0.00
8097628;0.00;0.00;0.00;PCE;0.00
7858828;0.00;0.00;0.00;PCE;0.00
8098003;0.00;0.00;0.00;PCE;0.00
3559523;7.00;192.00;0.00;PCE;0.00
10988911;0.00;0.00;0.00;PCE;0.00
11228682;0.00;0.00;0.00;PCE;0.00
3436073;-7.00;5.00;0.00;PCE;0.00
11262352;0.00;0.00;0.00;PCE;0.00
4750150;0.00;0.00;0.00;PCE;0.00
4805316;0.00;0.00;0.00;PCE;0.00
4574611;0.00;0.00;0.00;PCE;0.00
4713342;0.00;0.00;0.00;PCE;0.00
4432881;0.00;0.00;0.00;PCE;0.00
11154621;0.00;0.00;0.00;PCE;0.00
7862103;0.00;0.00;0.00;PCE;0.00
6440179;0.00;0.00;0.00;PCE;0.00
6984282;0.00;0.00;0.00;PCE;0.00
6986020;0.00;0.00;0.00;PCE;0.00
6986847;0.00;0.00;0.00;PCE;0.00
6610284;0.00;0.00;0.00;PCE;0.00
9171505;NULL;NULL;NULL;NULL;0.00
